object_type,object_name,row_count_exact,purpose_or_comment,grain,grain_evidence_status,primary_key,foreign_keys,unique_constraints,check_constraints,static_runtime_readers,static_runtime_writers,disposition,target_objects,risk
table,prompt_template,5,Prompt 组合模板，一行一个 AI 场景（template_key 唯一：daily_review、timeslot_allocation、empowerment_review、daily_correction、product_correction）：记录使用的 system 角色 key、要拼装的 prompt_segment key 列表、模型名与 temperature/top_p；bakery-ops prompt-engine 按 template_key 读取并组装成最终 prompt,Prompt 组合模板，一行一个 AI 场景（template_key 唯一：daily_review、timeslot_allocation、empowerment_review、daily_correction、product_correction）：记录使用的 system 角色 key、要拼装的 prompt_segment key 列表、模型名与 temperature/top_p,已确认：生产库表注释,PRIMARY KEY (id),,UNIQUE (template_key),,bakery_ops,未由静态扫描确认,VERSION,ai_prompt_template | ai_prompt_template_segment,HIGH
table,schema_migrations,88,数据库迁移版本台账，一行一个已应用的迁移。两个代码库共用这一张表：version 1-24 来自 bakery-ops 的 src/modules/data/migrations，27-45 来自财务站的 sql/ 目录（后者多填 filename 与 checksum）。已知隐患：bakery-ops 的 025/026 未登记，且 027 号被两边同时使用、库里记的是财务站那条。非业务表，勿手工增删,数据库迁移版本台账，一行一个已应用的迁移,已确认：生产库表注释,PRIMARY KEY (version),,,,bakery_ops、finance_web,finance_web,REKEY,app_schema_migration,CRITICAL
table,screening_rules,30,AI 从在职/离职员工历史中提炼的招聘筛选规则，一行一条规则（含证据、置信度、样本数、适用岗位），由 bakery-ops 的 rule-extractor 在员工离职或周期性分析时写入；当前 15 条全部是 retention 类负面规则,AI 从在职/离职员工历史中提炼的招聘筛选规则，一行一条规则（含证据、置信度、样本数、适用岗位），由 bakery-ops 的 rule-extractor 在员工离职或周期性分析时写入,已确认：生产库表注释,PRIMARY KEY (id),,,,未由静态扫描确认,未由静态扫描确认,REVIEW_MIGRATE,hr_screening_rule,HIGH
table,session_state,2,多轮对话的未完成收集状态，一行一个会话（conversation_id 主键 + 当前 skill + 待确认动作 + 已收集参数 JSON + 待补参数）。这是易失的工作态，流程走完即删，不是对话历史，勿用于统计。由 bakery-ops orchestrator 的 StateManager 写入,多轮对话的未完成收集状态，一行一个会话（conversation_id 主键 + 当前 skill + 待确认动作 + 已收集参数 JSON + 待补参数）,已确认：生产库表注释,PRIMARY KEY (conversation_id),,,,未由静态扫描确认,未由静态扫描确认,MIGRATE_ACTIVE_ONLY,msg_conversation | msg_conversation_state,MEDIUM
table,staff,25,公司员工统一身份。← ops_user + team_member（072 合并）。lark_open_id 为 NULL 表示此人尚未与飞书账号关联。,结构上由 PRIMARY KEY (user_id) 唯一标识；业务粒度仍需由写入方确认,合理推测：结构约束,PRIMARY KEY (user_id),,UNIQUE (lark_open_id),,未由静态扫描确认,未由静态扫描确认,SPLIT_IDENTITY,hr_person | hr_person_contact | hr_employment | hr_employment_source_identity | hr_employment_mapping_review | app_user | app_user_role | app_user_location_scope,CRITICAL
table,trials,0,试工评估结果，一行一次试工（挂 appointments.id），记录试工评分、反馈、工作态度小结、是否触犯红线与录用建议，由 bakery-ops 招聘流程写入。当前 0 行,试工评估结果，一行一次试工（挂 appointments.id），记录试工评分、反馈、工作态度小结、是否触犯红线与录用建议，由 bakery-ops 招聘流程写入,已确认：生产库表注释,PRIMARY KEY (id),FOREIGN KEY (appointment_id) REFERENCES appointments(id) | FOREIGN KEY (decided_by_user_id) REFERENCES staff(user_id) | FOREIGN KEY (store_id) REFERENCES ops_store(store_code),,"CHECK (recommendation = ANY (ARRAY['建议录用'::text, '有条件录用'::text, '延长试工'::text, '不建议录用'::text]))",未由静态扫描确认,未由静态扫描确认,MERGE_SPLIT,hr_appointment | hr_assessment | hr_assessment_score,MEDIUM
table,wa_outbound_queue,9,WhatsApp 外发消息队列，phone 唯一，一个号码同时最多一条待发记录，worker 取 status=queued 且到达 earliest_at 的行按业务时段与限额发送并回写 status/attempts/last_error，由 bakery-ops 外发 worker 写入。区别于 wa_send_log：本表是会被更新覆盖的待发队列，wa_send_log 是发送成功后只增不改的流水,结构上由 PRIMARY KEY (id) 唯一标识；业务粒度仍需由写入方确认,合理推测：结构约束,PRIMARY KEY (id),FOREIGN KEY (application_id) REFERENCES applications(id) | FOREIGN KEY (store_id) REFERENCES ops_store(store_code),UNIQUE (phone),"CHECK (status = ANY (ARRAY['queued'::text, 'sending'::text, 'sent'::text, 'failed'::text, 'skipped'::text]))",bakery_ops,bakery_ops,MIGRATE_ACTIVE_ONLY,msg_outbound_message,HIGH
table,wa_send_log,13,WhatsApp 发送流水台账，一行一条已发出的消息，只记号码和吉隆坡本地发送日期 sent_on，用于按号码按天做冷发限额计数，由 bakery-ops 外发 worker 追加。区别于 wa_outbound_queue：那是一号码一行的待发队列，本表是只增不改的历史日志,WhatsApp 发送流水台账，一行一条已发出的消息，只记号码和吉隆坡本地发送日期 sent_on，用于按号码按天做冷发限额计数，由 bakery-ops 外发 worker 追加,已确认：生产库表注释,PRIMARY KEY (id),,,,未由静态扫描确认,未由静态扫描确认,MIGRATE_SUMMARY,msg_outbound_message | msg_delivery_attempt | msg_delivery_event,MEDIUM
view,daily_sales_record,,天 × 单品销量，由 item_hourly_sales 汇总。原为物化表，068 改视图。,没有主键或唯一约束足以证明一行的业务含义,待验证,,,,,bakery_ops,bakery_ops,REBUILD_VIEW,v_pos_item_sales_day,MEDIUM
view,product_material_cost,,商品单位成本。列名沿用 MySQL 时代的叫法（product_name/material_cost/cost_source/confidence），因为 bakery-ops 的每日复盘按这些名字读（daily-review-chat.definition.ts:269/286）。081 起直接建在 v_cost_card_current_cost 上，中间那层 _compat 转发视图已删。,没有主键或唯一约束足以证明一行的业务含义,待验证,,,,,bakery_ops,未由静态扫描确认,REBUILD_VIEW,v_cost_card_product_cost_quality,MEDIUM
view,timeslot_sales_record,,单品 × 日型 × 时段的 56 天滚动均值，由 item_hourly_sales 推导。原为物化表，068 改视图。,没有主键或唯一约束足以证明一行的业务含义,待验证,,,,,bakery_ops,未由静态扫描确认,REBUILD_VIEW,v_ops_timeslot_sales_baseline,MEDIUM
view,v_cost_card_current_cost,,生产库无对象注释,没有主键或唯一约束足以证明一行的业务含义,待验证,,,,,finance_web,未由静态扫描确认,REBUILD_VIEW,v_cost_card_product_cost_quality,MEDIUM
view,v_cost_card_data_quality,,生产库无对象注释,没有主键或唯一约束足以证明一行的业务含义,待验证,,,,,finance_web,未由静态扫描确认,REBUILD_VIEW,v_cost_card_product_cost_quality | v_app_data_quality_summary,MEDIUM
view,v_cost_card_price_current_normalized,,生产库无对象注释,没有主键或唯一约束足以证明一行的业务含义,待验证,,,,,finance_web,未由静态扫描确认,REBUILD_VIEW,v_cost_card_material_price_current,MEDIUM
view,v_cost_card_recipe_expanded,,生产库无对象注释,没有主键或唯一约束足以证明一行的业务含义,待验证,,,,,未由静态扫描确认,未由静态扫描确认,REBUILD_VIEW,v_cost_card_recipe_expanded,HIGH
view,v_daily_margin,,当日毛利率。两个口径同时给：margin_pct 是全部有成本卡的品，margin_pct_trusted 只用通过质量检查的品。⚠ 成本卡有错的期间，只看 margin_pct 会被低毛利的错误成本卡拖低 —— 实测 19% 的销售额（含最大单品招牌惠灵顿）落在「毛利率<25%」这一档。cost_coverage_pct / trusted_coverage_pct 是这两个数各自的可信底座，必须一起看。,没有主键或唯一约束足以证明一行的业务含义,待验证,,,,,未由静态扫描确认,未由静态扫描确认,REBUILD_VIEW,v_cost_card_daily_margin,MEDIUM
view,v_forecast_accuracy,,预估 vs 实卖，逐日逐品，走 item_key。direction 同时保留高估与低估。按 is_planned 过滤才是「排产准不准」的口径：饮料与周边不排产，它们的「无预估」是正常的。近30天基线（107 建视图时实测）：736 对配对、平均绝对误差 30.1、误差率 43.5%、高估占比 67%。,没有主键或唯一约束足以证明一行的业务含义,待验证,,,,,未由静态扫描确认,未由静态扫描确认,REBUILD_VIEW,v_ops_forecast_accuracy,MEDIUM
view,v_holiday_factor,,每个假期该乘多少。factor_source 说明这个数是实测的还是猜的 —— 预估引擎接入时应当把「猜的」和「实测的」区别对待，别让 1.0 兜底伪装成有依据。,没有主键或唯一约束足以证明一行的业务含义,待验证,,,,,未由静态扫描确认,未由静态扫描确认,REBUILD_VIEW,v_ops_holiday_factor,MEDIUM
view,v_identity_gap,,还没对上商品目录的东西。为空是好事；不为空说明有钱正在从统计里漏掉。107 之前这些缺口是静默的 —— 视图直接把它们 LEFT JOIN 掉，数字看起来完整实际少了一截。,没有主键或唯一约束足以证明一行的业务含义,待验证,,,,,未由静态扫描确认,未由静态扫描确认,REBUILD_VIEW,v_identity_mapping_gap,MEDIUM
view,v_item_cost_quality,,单品成本卡可信度。cost_trusted=false 的品，它的毛利数字不能用来做定价决策。25%/80% 这两条线是经验阈值，不是真理 —— 它们的作用是把「需要人看一眼」的品挑出来，而不是断言那些成本一定是错的。店主 2026-08-05 已确认成本卡有错、后续会更新。,没有主键或唯一约束足以证明一行的业务含义,待验证,,,,,未由静态扫描确认,未由静态扫描确认,REBUILD_VIEW,v_cost_card_product_cost_quality,MEDIUM
view,v_item_daily_pulse,,单品每日全景：预估 / 实卖 / 报废 / 断货 在同一行。total_loss_amount 只含排产报废 + 断货估损，**不含试吃** —— 试吃是营销投入不是损失。loss_pattern = '又多做又断货' 是最贵的一类：总量对了但时段错了，加减总产量修不好，要动 product.break_stock_time 与 time_slots。,单品每日全景：预估 / 实卖 / 报废 / 断货 在同一行,已确认：生产库表注释,,,,,未由静态扫描确认,未由静态扫描确认,REBUILD_VIEW,v_ops_item_daily_pulse,MEDIUM
view,v_item_sales_keyed,,"item_hourly_sales 补齐 item_key。实测 2,297 行原本为空（43 个品项 / RM301,698），其中 73/74 个品名能经 pos_product.name_en 找回。key_recovered_by_name = true 表示这一行的键是补出来的，同步侧漏键的规模可由它统计。",key_recovered_by_name = true 表示这一行的键是补出来的，同步侧漏键的规模可由它统计,已确认：生产库表注释,,,,,未由静态扫描确认,未由静态扫描确认,RETIRE_NAME_RECOVERY,v_pos_item_sales_day,HIGH
view,v_item_waste_keyed,,生产库无对象注释,没有主键或唯一约束足以证明一行的业务含义,待验证,,,,,未由静态扫描确认,未由静态扫描确认,REBUILD_VIEW,v_pos_item_waste_mapped,MEDIUM
view,v_labor_productivity,,人效。output_value = 当日营业额 ÷ 当日总工时，等同门店 Excel 表头的 Output value。⚠ 待确认：门店两张 Excel 在同一天填了不同的 turnover（后厨 51000 / 前场 55000），本视图统一取 daily_revenue。若两个区域确实要用不同分母，需要业务方给出口径定义。,没有主键或唯一约束足以证明一行的业务含义,待验证,,,,,未由静态扫描确认,未由静态扫描确认,REBUILD_VIEW,v_ops_labor_productivity,MEDIUM
view,v_pos_item_by_name,,英文品名 → 单一 item_key。pos_product 同名多行（同一商品跨两个 org），这里按「在销售里出现得更多」收敛到一行，供缺键回补使用。注意：裸 item_id（item_key 第三段）才是与 org 无关的商品身份 —— cost_card_product_link.pos_item_id 存的就是它。,pos_product 同名多行（同一商品跨两个 org），这里按「在销售里出现得更多」收敛到一行，供缺键回补使用,已确认：生产库表注释,,,,,未由静态扫描确认,未由静态扫描确认,RETIRE,,HIGH
view,v_product_identity,,"商品身份桥，以 POS 目录 pos_product 为全集（211 行），排产属性从 product 补。is_planned = 该品项是否进入每日排产（product 里有行）—— 饮料与周边为 false，它们不排产，所以「没有预估」对它们不是缺陷。108 之前这里只建在 product 上（54 行），导致 4,288 行销售无名、RM130.7 万落进空桶。",没有主键或唯一约束足以证明一行的业务含义,待验证,,,,,未由静态扫描确认,未由静态扫描确认,REBUILD_VIEW,v_product_identity,MEDIUM
view,v_revenue_manager_vs_pos,,店长手填 vs POS 实测。差额持续偏大说明有一侧口径不对（手工单没进 POS，或抓取漏了渠道），这正是 104 之前被覆盖掉、因而永远看不见的信号。,没有主键或唯一约束足以证明一行的业务含义,待验证,,,,,未由静态扫描确认,未由静态扫描确认,REBUILD_VIEW,v_ops_manager_sales_reconciliation,MEDIUM
view,v_revenue_reconciliation,,daily_revenue 与 hourly_sales_summary 的逐日对账。实测 214/214 天营收完全相等、213/214 天单量相等；唯一不符的 2026-04-12 差 25 单，是「无小时归属订单」，不是错误（sync-to-db.js:141-150 的注释写明了这个口径差）。revenue_diff 或 bill_diff 突然变大，说明抓取链路出了问题。,没有主键或唯一约束足以证明一行的业务含义,待验证,,,,,未由静态扫描确认,未由静态扫描确认,REBUILD_VIEW,v_pos_revenue_reconciliation,MEDIUM
view,v_shift_by_post,,按岗位看工时去向。主岗取 station 的第一段（斜杠组合岗如「陈列/考核/外送」归到「陈列」）。,没有主键或唯一约束足以证明一行的业务含义,待验证,,,,,未由静态扫描确认,未由静态扫描确认,REBUILD_VIEW,v_ops_shift_by_role,MEDIUM
